iter	Logloss
0	0.6766496392
1	0.659528022
2	0.6436484914
3	0.6289657428
4	0.6177363758
5	0.6035498459
6	0.5915549249
7	0.5787160691
8	0.5683640652
9	0.5587700917
10	0.5505051626
11	0.5415028474
12	0.5348799432
13	0.5283295106
14	0.5212648065
15	0.5140403347
16	0.5074399265
17	0.5002631781
18	0.4925064815
19	0.4875875283
20	0.4822173426
21	0.477711536
22	0.4731569128
23	0.4675654621
24	0.4632247385
25	0.4587985621
26	0.4552910991
27	0.4513190163
28	0.4476922735
29	0.4442361231
30	0.4410516354
31	0.4389038234
32	0.4363849818
33	0.4341682871
34	0.4317441981
35	0.4288840734
36	0.426987701
37	0.4253237255
38	0.423222994
39	0.4218296017
40	0.419496474
41	0.4180333357
42	0.4159541817
43	0.4145362627
44	0.4136000501
45	0.4121100573
46	0.4099819179
47	0.4087587792
48	0.4079649439
49	0.4066513573
50	0.4058665055
51	0.4044093906
52	0.4033126411
53	0.4023094669
54	0.4017360023
55	0.4008674886
56	0.3997558637
57	0.3989210725
58	0.3977598584
59	0.3967803091
60	0.3960978421
61	0.3946214952
62	0.3943510941
63	0.3937871998
64	0.3934524833
65	0.3929639895
66	0.3918519639
67	0.3913167793
68	0.3902724682
69	0.3899286659
70	0.3898456494
71	0.3893800739
72	0.3882716624
73	0.3873431375
74	0.3867438909
75	0.3858117146
76	0.3852991314
77	0.3850217691
78	0.384405766
79	0.3834661015
80	0.3828562384
81	0.3824276834
82	0.3820106959
83	0.3811742028
84	0.3806258667
85	0.380115455
86	0.3795836642
87	0.3791838535
88	0.37851508
89	0.3778290893
90	0.3773765683
91	0.3768456493
92	0.3765654048
93	0.3761790054
94	0.3753577547
95	0.3750549413
96	0.3747458281
97	0.3743872068
98	0.3740452442
99	0.3733645846
100	0.372664337
101	0.3723479451
102	0.3719306374
103	0.3714536739
104	0.371224609
105	0.3708821581
106	0.3705161615
107	0.3700312177
108	0.3696301039
109	0.3691883817
110	0.3687728461
111	0.3684706862
112	0.3682350848
113	0.3676035287
114	0.3671695076
115	0.3668656078
116	0.3664580261
117	0.3659930364
118	0.365443128
119	0.3650843907
120	0.3645317184
121	0.3642336143
122	0.3638246055
123	0.3636167786
124	0.3630490179
125	0.362607301
126	0.3624529796
127	0.362195325
128	0.361622568
129	0.3613357711
130	0.3608701331
131	0.3605262366
132	0.3600607639
133	0.3596419565
134	0.3593653387
135	0.3590831419
136	0.3587390899
137	0.3582757119
138	0.3576336447
139	0.3573469484
140	0.3568830317
141	0.3566287612
142	0.3564318261
143	0.3560794618
144	0.3558898337
145	0.3557394717
146	0.3554104088
147	0.3550151936
148	0.3547067055
149	0.3542829356
150	0.3540333551
151	0.3537501142
152	0.3532299745
153	0.3529483957
154	0.3524837729
155	0.3523274996
156	0.3519731332
157	0.3516640641
158	0.3510992847
159	0.3507812011
160	0.3501865499
161	0.3498550729
162	0.3496615868
163	0.3494852432
164	0.3492852334
165	0.3489361185
166	0.3488151385
167	0.3483841887
168	0.3479338673
169	0.347495013
170	0.3472757759
171	0.3471054409
172	0.3467842993
173	0.3463964374
174	0.3463813107
175	0.3461568935
176	0.345840829
177	0.3458071978
178	0.3453461357
179	0.3448688984
180	0.3446353291
181	0.3443184024
182	0.3440098449
183	0.3439359391
184	0.3437218235
185	0.3433784414
186	0.3431060888
187	0.3427781632
188	0.3422337547
189	0.3421041059
190	0.3417069935
191	0.3414472276
192	0.3413128933
193	0.3410144424
194	0.3405906525
195	0.3404901872
196	0.3401695272
197	0.3399967875
198	0.3399818305
199	0.3398172673
200	0.3396628677
201	0.3393340633
202	0.3390653255
203	0.3383321396
204	0.3380852439
205	0.337974489
206	0.3377824811
207	0.3376966848
208	0.3373601726
209	0.3371915636
210	0.3368781462
211	0.3367053985
212	0.3361790542
213	0.3360728299
214	0.3357225726
215	0.3355055599
216	0.3352252401
217	0.3349693826
218	0.3345929083
219	0.3343804766
220	0.3340153954
221	0.3338360503
222	0.3337359988
223	0.3334427793
224	0.3331088716
225	0.3327554819
226	0.3324050575
227	0.3320803489
228	0.3318173435
229	0.3315124939
230	0.3312012323
231	0.331028658
232	0.3309241665
233	0.3305614144
234	0.330335325
235	0.329920946
236	0.3295859334
237	0.3294073854
238	0.3293305445
239	0.3291605663
240	0.3286427853
241	0.3281659873
242	0.327902628
243	0.3274574643
244	0.3269969936
245	0.3265774036
246	0.3263138588
247	0.3261436273
248	0.3259674945
249	0.3257689749
250	0.3254430936
251	0.3251237115
252	0.3247063465
253	0.3243883629
254	0.3240553244
255	0.3238765664
256	0.3237511988
257	0.3235347073
258	0.3234913926
259	0.3233891522
260	0.323055732
261	0.3227181517
262	0.3224082554
263	0.3221431127
264	0.3214638797
265	0.3213117886
266	0.3209938434
267	0.3206899195
268	0.3205024269
269	0.3203129185
270	0.3201239312
271	0.3196133199
272	0.319468455
273	0.3193985519
274	0.3190559406
275	0.318798065
276	0.3184504949
277	0.3181268238
278	0.3180084001
279	0.3177975291
280	0.3173527203
281	0.3170504977
282	0.3167919353
283	0.3166045096
284	0.3164936244
285	0.3162550213
286	0.3161258798
287	0.3156624768
288	0.3154790872
289	0.3153480723
290	0.3150851502
291	0.3147204482
292	0.3145529857
293	0.3144750524
294	0.3141224821
295	0.3138840868
296	0.3135007113
297	0.3133824596
298	0.3128625833
299	0.3127248468
300	0.3125403958
301	0.3124695762
302	0.3121560813
303	0.3119892426
304	0.311290302
305	0.3110655379
306	0.3108712726
307	0.3107205672
308	0.3102285301
309	0.3099084416
310	0.3092627622
311	0.309128239
312	0.3086329112
313	0.3084593058
314	0.3081999131
315	0.3077497961
316	0.3074798629
317	0.307334596
318	0.3067272989
319	0.3064853686
320	0.3062880189
321	0.3061855271
322	0.3060413743
323	0.3057099061
324	0.3055057239
325	0.3053958752
326	0.3052592859
327	0.3050654782
328	0.3046409845
329	0.30453625
330	0.3042357882
331	0.3039979721
332	0.3038086129
333	0.3036952626
334	0.3033304664
335	0.3028833701
336	0.3024243201
337	0.3020100465
338	0.3015885475
339	0.3013194574
340	0.3007460911
341	0.3006298275
342	0.3000367914
343	0.2996100843
344	0.2992540178
345	0.2987931991
346	0.2985523126
347	0.2983126957
348	0.2980101775
349	0.2978881285
350	0.2977007178
351	0.2974932715
352	0.2972240084
353	0.2971581483
354	0.2966127313
355	0.2962544695
356	0.2960139026
357	0.2959065171
358	0.2956234695
359	0.2952141575
360	0.2949364941
361	0.2945283555
362	0.2944269302
363	0.2943262581
364	0.2941685364
365	0.2936994676
366	0.2934483893
367	0.2931231688
368	0.292842639
369	0.2924372557
370	0.2921366238
371	0.2919088867
372	0.2915204908
373	0.2910881134
374	0.2908741053
375	0.2906262294
376	0.2903354431
377	0.2900288895
378	0.2896001545
379	0.2893709821
380	0.2890069925
381	0.2886551993
382	0.2882029589
383	0.2877549305
384	0.2873752049
385	0.2869448826
386	0.2862661925
387	0.2862053824
388	0.2860221464
389	0.2857324025
390	0.2855582571
391	0.2850375412
392	0.2847795252
393	0.2846727753
394	0.284376679
395	0.284324626
396	0.2841693466
397	0.283986922
398	0.2838962209
399	0.2838504214
400	0.2834439095
401	0.2831337061
402	0.2828421886
403	0.2826850719
404	0.2824429892
405	0.282197197
406	0.2819589697
407	0.2818585427
408	0.281696916
409	0.2812798249
410	0.28118272
411	0.2808811878
412	0.2804898044
413	0.2801833293
414	0.2800484733
415	0.2799267838
416	0.2793986988
417	0.2792550411
418	0.2791162866
419	0.2788141863
420	0.2786814023
421	0.2785548814
422	0.2781649485
423	0.277901877
424	0.2774394742
425	0.2773500541
426	0.2770328961
427	0.2767877487
428	0.276391206
429	0.2760860038
430	0.2758571282
431	0.2757275642
432	0.2754799696
433	0.275292261
434	0.275101155
435	0.275056204
436	0.2747836004
437	0.2747180983
438	0.2743998614
439	0.2741766607
440	0.2740299774
441	0.2735573125
442	0.2732720706
443	0.2731329631
444	0.2730415947
445	0.2728195158
446	0.2723791412
447	0.2722831847
448	0.2718637761
449	0.2714370052
450	0.2710762053
451	0.2709469698
452	0.2704903306
453	0.2703749097
454	0.2702769252
455	0.2701520897
456	0.2695622887
457	0.2689810431
458	0.2688239736
459	0.2684801281
460	0.2680553975
461	0.2678547392
462	0.2677620465
463	0.2676725648
464	0.2674650876
465	0.2670672786
466	0.2668609698
467	0.2666799368
468	0.2664282961
469	0.2663512267
470	0.2659149142
471	0.2656480571
472	0.2653883445
473	0.2650214897
474	0.2645892169
475	0.2643994487
476	0.2643166925
477	0.2640582875
478	0.2636682222
479	0.2635773831
480	0.2632084547
481	0.2628663754
482	0.2625331403
483	0.2623830945
484	0.262365043
485	0.261995933
486	0.2617014305
487	0.2615479871
488	0.2611987418
489	0.2611548608
490	0.2610754057
491	0.2607219632
492	0.2604713846
493	0.2601294796
494	0.259995244
495	0.2597205547
496	0.2593381559
497	0.2592349328
498	0.2587078657
499	0.2583978696
